Question,Response,Overall,"Age: 18-34","Age: 35-49","Age: 50-64","Age: 65+","Gender: Women","Gender: Men","College/No College: College","College/No College: No college","Income three-way: Lower Income","Income three-way: Middle Income","Income three-way: Upper Income","Generation: Gen Z","Generation: Millenial","Generation: Gen X","Generation: Boomer","Generation: Silent","Race: Native American","Race: Asian","Race: Hispanic","Race: Black","Race: White","Occupation Category: Office Job","Occupation Category: Customer Facing Service Job","Occupation Category: Manual, Not Customer Facing","Occupation Category: Education/Medicine","Occupation Category: Building Trades"
AI Services Used,ChatGPT,34.8%,48.8%,40.7%,32.8%,17.1%,34.1%,35.5%,41.4%,30.9%,24.3%,33.7%,40.5%,49.4%,44.2%,35.9%,19.9%,15.7%,33.0%,40.2%,37.5%,35.2%,33.7%,39.9%,34.2%,29.9%,36.0%,31.7%
AI Services Used,Claude,1.7%,3.1%,1.8%,1.2%,0.6%,1.6%,1.8%,1.7%,1.7%,1.4%,1.6%,1.9%,3.2%,2.3%,1.4%,0.6%,0.7%,1.9%,2.2%,2.4%,2.4%,1.4%,2.2%,2.3%,1.9%,2.2%,2.0%
AI Services Used,Gemini,24.3%,27.9%,29.9%,23.8%,16.0%,22.5%,26.3%,25.4%,23.7%,22.8%,24.5%,24.9%,27.4%,29.8%,25.9%,17.2%,16.2%,25.5%,28.0%,27.6%,30.4%,22.1%,28.6%,27.9%,28.1%,27.6%,28.5%
AI Services Used,Grok,3.8%,6.3%,4.3%,2.9%,1.8%,2.8%,4.9%,3.5%,4.0%,2.9%,4.0%,4.2%,7.1%,4.8%,3.2%,2.0%,1.8%,3.8%,4.3%,4.7%,3.9%,3.6%,4.3%,4.0%,4.4%,3.8%,4.8%
AI Services Used,Copilot,12.2%,11.5%,14.0%,14.5%,9.2%,10.8%,13.7%,16.6%,9.6%,7.8%,11.0%,15.1%,10.7%,13.2%,14.9%,10.4%,8.4%,11.2%,15.2%,11.5%,12.9%,11.9%,14.9%,10.2%,10.9%,13.4%,12.1%
AI Services Used,Perplexity,3.0%,4.4%,3.8%,2.4%,1.4%,2.6%,3.5%,2.9%,3.1%,2.3%,3.2%,3.2%,4.4%,4.2%,2.7%,1.6%,1.6%,3.2%,3.5%,3.7%,3.7%,2.7%,3.6%,3.5%,3.8%,3.2%,4.2%
AI Services Used,DeepSeek,1.0%,1.7%,1.1%,0.7%,0.6%,0.8%,1.2%,0.9%,1.1%,0.8%,0.9%,1.2%,1.8%,1.3%,0.7%,0.6%,0.6%,1.0%,1.1%,1.4%,1.2%,0.9%,1.0%,1.1%,1.0%,0.9%,1.2%
AI Services Used,Meta,13.2%,15.7%,15.2%,13.2%,9.0%,13.7%,12.7%,12.6%,13.6%,13.2%,13.4%,13.1%,15.9%,15.5%,13.9%,9.7%,9.0%,13.5%,14.0%,15.4%,16.2%,12.1%,14.8%,15.6%,14.6%,15.0%,14.6%
AI Services Used,Character,1.6%,3.3%,1.5%,0.9%,0.7%,1.6%,1.7%,1.1%,1.9%,1.8%,1.6%,1.5%,3.6%,2.0%,1.1%,0.7%,0.9%,2.0%,1.8%,2.2%,2.6%,1.3%,2.4%,3.5%,2.9%,2.5%,2.9%
AI Services Used,Replika,0.5%,0.9%,0.5%,0.3%,0.1%,0.4%,0.5%,0.3%,0.5%,0.4%,0.5%,0.5%,1.1%,0.6%,0.3%,0.1%,0.2%,0.5%,0.5%,0.7%,0.6%,0.4%,0.5%,0.8%,0.8%,0.5%,0.8%
