config.name,config.backend.name,config.backend.version,config.backend._target_,config.backend.task,config.backend.library,config.backend.model_type,config.backend.model,config.backend.processor,config.backend.device,config.backend.device_ids,config.backend.seed,config.backend.inter_op_num_threads,config.backend.intra_op_num_threads,config.backend.model_kwargs.trust_remote_code,config.backend.no_weights,config.backend.device_map,config.backend.torch_dtype,config.backend.eval_mode,config.backend.to_bettertransformer,config.backend.low_cpu_mem_usage,config.backend.attn_implementation,config.backend.cache_implementation,config.backend.autocast_enabled,config.backend.autocast_dtype,config.backend.torch_compile,config.backend.torch_compile_target,config.backend.quantization_scheme,config.backend.quantization_config.bits,config.backend.quantization_config.use_exllama ,config.backend.quantization_config.version,config.backend.quantization_config.model_seqlen,config.backend.deepspeed_inference,config.backend.peft_type,config.scenario.name,config.scenario._target_,config.scenario.iterations,config.scenario.duration,config.scenario.warmup_runs,config.scenario.input_shapes.batch_size,config.scenario.input_shapes.num_choices,config.scenario.input_shapes.sequence_length,config.scenario.new_tokens,config.scenario.memory,config.scenario.latency,config.scenario.energy,config.scenario.generate_kwargs.max_new_tokens,config.scenario.generate_kwargs.min_new_tokens,config.launcher.name,config.launcher._target_,config.launcher.device_isolation,config.launcher.device_isolation_action,config.launcher.numactl,config.launcher.start_method,config.environment.cpu,config.environment.cpu_count,config.environment.cpu_ram_mb,config.environment.system,config.environment.machine,config.environment.platform,config.environment.processor,config.environment.python_version,config.environment.optimum_benchmark_version,config.environment.optimum_benchmark_commit,config.environment.transformers_version,config.environment.transformers_commit,config.environment.accelerate_version,config.environment.accelerate_commit,config.environment.diffusers_version,config.environment.diffusers_commit,config.environment.optimum_version,config.environment.optimum_commit,config.environment.timm_version,config.environment.timm_commit,config.environment.peft_version,config.environment.peft_commit,report.traceback
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,llama,01-ai/Yi-34B,01-ai/Yi-34B,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,opt,facebook/opt-66b,facebook/opt-66b,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,gpt_neox,EleutherAI/pythia-6.7b,EleutherAI/pythia-6.7b,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,qwen2,Qwen/Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,codegen,Salesforce/codegen-16B-nl,Salesforce/codegen-16B-nl,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,gptj,EleutherAI/gpt-j-6b,EleutherAI/gpt-j-6b,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,llama,Deci/DeciCoder-1b,Deci/DeciCoder-1b,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,gpt_neox,EleutherAI/pythia-2.7b,EleutherAI/pythia-2.7b,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,opt,facebook/opt-350m,facebook/opt-350m,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
4bit-gptq-exllama-v1-sdpa,pytorch,2.4.0+cpu,optimum_benchmark.backends.pytorch.backend.PyTorchBackend,text-generation,transformers,qwen2_moe,Qwen/Qwen1.5-MoE-A2.7B,Qwen/Qwen1.5-MoE-A2.7B,cpu,0,42,,,True,True,,float16,True,False,,sdpa,,False,,False,forward,gptq,4,True,1,256,False,,inference,optimum_benchmark.scenarios.inference.scenario.InferenceScenario,10,10,10,1,2,256,,True,True,True,64,64,process,optimum_benchmark.launchers.process.launcher.ProcessLauncher,False,,False,spawn, Intel(R) Xeon(R) Platinum 8488C,192,399296.049152,Linux,x86_64,Linux-5.10.223-211.872.amzn2.x86_64-x86_64-with-glibc2.35,x86_64,3.10.12,0.4.0,,4.44.1,,0.33.0,,,,,,,,,,"Traceback (most recent call last):
  File ""/workspace/llm_perf/hardware/intel/update_llm_perf_intel_pytorch.py"", line 149, in benchmark_intel_pytorch
    benchmark_report = Benchmark.launch(benchmark_config)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 47, in launch
    report = launcher.launch(worker=cls.run, worker_args=[config])
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 67, in launch
    raise ChildProcessError(response[""traceback""])
ChildProcessError: Traceback (most recent call last):
  File ""/workspace/optimum_benchmark/launchers/process/launcher.py"", line 103, in target
    report = worker(*worker_args)
  File ""/workspace/optimum_benchmark/benchmark/base.py"", line 68, in run
    report = scenario.run(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 89, in run
    self.run_model_loading_tracking(backend)
  File ""/workspace/optimum_benchmark/scenarios/inference/scenario.py"", line 168, in run_model_loading_tracking
    energy_tracker = EnergyTracker(
  File ""/workspace/optimum_benchmark/trackers/energy.py"", line 129, in __init__
    raise ValueError(
ValueError: The library codecarbon is required to run energy benchmark, but is not installed. Please install it through `pip install codecarbon`.

"
