Field,Achievement,Result,Human result,Outperforms human avg?,Model,Testing date,"Peer-
reviewed?","Paper/
link",Extract
Music,97% of people can’t tell the difference between fully AI-generated and human made music.,,,Yes,Multiple,Nov/2025,No,🔗,"""all participants were asked to listen to three tracks and determine whether or not they were fully AI-generated – 97% of the respondents failed."""
Transcription,Transcribing handwritten historical documents.,99.44,96.0,Yes,Gemini 3,Nov/2025,No,🔗,"""The new Gemini model’s performance on HTR meets the criteria for expert human performance... the error rates fell to a modified CER of 0.56% and WER of 1.22%. In other words, the new Gemini model was only getting about 1 in 200 characters wrong, not counting punctuation marks and capital letters."""
Finance,Large Language Models pass CFA Level III.,79.1,50.0,Yes,o4-mini,Jul/2025,Yes,🔗,"""leading models demonstrate strong capabilities, with composite scores such as 79.1% (o4-mini) and 77.3% (Gemini 2.5 Flash) on CFA Level III"""
CBRN,LLMs can can accurately guide users through the recovery of live poliovirus.,,,Yes,GPT-4o,Jun/2025,Yes,🔗,"""we find that advanced AI models Llama 3.1 405B, ChatGPT-4o, and Claude 3.5 Sonnet can accurately guide users through the recovery of live poliovirus from commercially obtained synthetic DNA"""
Health reviews,LLMs outperform humans in synthesizing results of multiple high-quality studies to answer specific clinical question (effectiveness or safety of a treatment).,96.7,81.7,Yes,o3-mini-high,Jun/2025,Yes,🔗,"""We developed otto-SR, an end-to-end agentic workflow using large language models (LLMs) to support and automate the SR workflow from initial search to analysis. We found that otto-SR outperformed traditional dual human workflows in SR screening (otto-SR: 96.7% sensitivity, 97.9% specificity; human: 81.7% sensitivity, 98.1% specificity) and data extraction (otto-SR: 93.1% accuracy; human: 79.7% accuracy). Using otto-SR, we reproduced and updated an entire issue of Cochrane reviews (n=12) in two days, representing approximately 12 work-years of traditional systematic review work. Across Cochrane reviews, otto-SR incorrectly excluded a median of 0 studies (IQR 0 to 0.25), and found a median of 2.0 (IQR 1 to 6.5) eligible studies likely missed by the original authors. Meta-analyses revealed that otto-SR generated newly statistically significant conclusions in 2 reviews and negated significance in 1 review. These findings demonstrate that LLMs can autonomously conduct and update systematic reviews with superhuman performance, laying the foundation for automated, scalable, and reliable evidence synthesis."""
Medicine,o1 outperforms physicians in medical diagnostics and reasoning.,78.3,34.0,Yes,o1,May/2025,Yes,🔗,"""[o1] displayed superhuman diagnostic and reasoning abilities, as well as continued improvement from prior generations of AI clinical decision support. Our study suggests that LLMs have achieved superhuman performance on general medical diagnostic and management reasoning"""
Emotional intelligence,Major LLMs in 2025 are 44% more emotionally intelligent than humans.,81.0,56.0,Yes,"GPT-4, etc",May/2025,Yes,🔗,"""ChatGPT-4, ChatGPT-o1, Gemini 1.5 flash, Copilot 365, Claude 3.5 Haiku, and DeepSeek V3 outperformed humans on five standard emotional intelligence tests, achieving an average accuracy of 81%, compared to the 56% human average"""
Persuasion,Claude 3.6S is more persuasive than human experts.,98.0,50.0,Yes,Claude 3.6S,Apr/2025,Yes,🔗,"""Personalization ranks in the 99th percentile among all users and the 98th percentile among experts, critically approaching thresholds that experts associate with the emergence of existential AI risks"""
Being human,GPT-4.5 was judged to be human based on conversations.,73.0,27.0,Yes,GPT-4.5,Mar/2025,Yes,🔗,"""GPT-4.5 was judged to be the human 73% of the time: significantly more often than interrogators selected the real human participant."""
Compassion,GPT-4 rated as more compassionate compared to select human responders.,,,Yes,GPT-4,Mar/2025,Yes,🔗,"""AI-generated responses [gpt-4-0125-preview] were rated 16% more compassionate than human responses and were preferred 68% of the time, even when compared to trained crisis responders."" https://www.livescience.com/technology/artificial-intelligence/people-find-ai-more-compassionate-than-mental-health-experts-study-finds-what-could-this-mean-for-future-counseling"
Memes,GPT-4o creates better memes than human average.,,,Yes,GPT-4o,Jan/2025,Yes,🔗,"""memes created entirely by AI performed better than both human-only and human-AI collaborative memes in all areas on average."""
Maths,"o1 completes new Dutch high school maths exam in 10 minutes, scores 100%.",100.0,40.63,Yes,o1,Sep/2024,Yes,🔗,"""[o1] scored [76 out of] 76 points. For context, only 24 out of 16,414 students in the Netherlands achieved a perfect score. By comparison, the GPT-4o model scored 66 and 61 out of 76, well above the Dutch average of 40.63 points. The O1-preview model completed the exam in around 10 minutes..."""
Biology,GPT-4 performs rudimentary structural biology modeling.,,,Yes,GPT-4,Aug/2024,Yes,🔗,"""The performance of GPT-4 for modeling of the 20 standard amino acids was favorable in terms of atom composition, bond lengths, and bond angles...the prediction of interaction-interfering mutations may become particularly useful in drug discovery and development, an area where GPT-based AI is anticipated to be impactful"""
Engineering,GPT-4 passes engineering exams.,85.1,,Yes,GPT-4,Aug/2024,Yes,🔗,"""Alarmingly, GPT-4 can easily be used to reach a 50% performance threshold (which could be sufficient to pass many courses at various universities) for 89% of courses with MCQ-based evaluations and for 77% of courses for open-answer questions... GPT-4 answers an average of 65.8% of questions correctly, and can even produce the correct answer across at least one prompting strategy for 85.1% of questions."""
Humor,ChatGPT is funnier than humans.,,,Yes,ChatGPT,Jul/2024,Yes,🔗,"""ChatGPT outperformed the majority of our human humor producers on each task. ChatGPT 3.5 performed above 73% of human producers on the acronym task, 63% of human producers on the fill-in-the-blank task, and 87% of human producers on the roast joke task."""
Legal,"Claude 3 Opus works at least 5,000 times faster than humans do, while producing work of similar or better quality…",,,Yes,Claude 3 Opus,Jun/2024,No,🔗,"""Of the 37 merits cases decided so far this Term, Claude decided 27 in the same way the Supreme Court did. In the other 10 (such as Campos-Chaves), I frequently was more persuaded by Claude’s analysis than the Supreme Court’s…"" Adam Unikowsky is a biglaw partner, a former law clerk to Justice Antonin Scalia, and has won eight Supreme Court cases as lead counsel. Using Claude 3 Opus, he explores the potential of AI in adjudicating Supreme Court cases."
