prompt_tokens,output_tokens,tokens_total,domain,latency_requirement_ms,quality_req_tier,quality_requirement,log_tokens_total,strict_latency,domain_penalty,label_model
2103,1217,3320,writing,200,4,0.725,8.108021221376747,1,0.04,Gemini 3
2353,1094,3447,reasoning,3000,3,0.6,8.145549631783583,0,0.08,Claude 3.6S
511,475,986,chat,400,1,0.35,6.894670039433481,1,0.0,Gemini 3
204,191,395,code,800,4,0.725,5.981414211254481,0,0.07,Claude 3.6S
121,141,262,writing,400,3,0.6,5.572154032177765,1,0.04,Claude 3.6S
1348,396,1744,qa,800,4,0.725,7.4645098346365275,0,0.03,Claude 3.6S
337,406,743,chat,1500,2,0.475,6.612041034833092,0,0.0,Claude 3.6S
916,681,1597,writing,800,4,0.725,7.37650812632622,0,0.04,Claude 3.6S
2396,659,3055,qa,800,4,0.725,8.024862150286411,0,0.03,Claude 3.6S
418,282,700,chat,6000,1,0.35,6.55250788703459,0,0.0,Claude 3.6S
413,393,806,reasoning,3000,3,0.6,6.693323668269948,0,0.08,Claude 3.6S
195,98,293,chat,1500,2,0.475,5.683579767338681,0,0.0,Claude 3.6S
357,399,756,writing,400,2,0.475,6.6293632534374485,1,0.04,Claude 3.6S
413,355,768,writing,800,4,0.725,6.6450909695056435,0,0.04,Claude 3.6S
1067,652,1719,writing,200,3,0.6,7.450079569807499,1,0.04,Gemini 3
532,346,878,chat,1500,2,0.475,6.778784897685177,0,0.0,Claude 3.6S
9346,3000,12346,qa,1500,1,0.35,9.421168397567744,0,0.03,Claude 3.6S
1371,536,1907,reasoning,3000,3,0.6,7.553810852008231,0,0.08,Claude 3.6S
1060,530,1590,writing,1500,3,0.6,7.372118028337787,0,0.04,Claude 3.6S
9717,3000,12717,code,3000,5,0.85,9.450773591827353,0,0.07,Gemini 3
118,217,335,qa,1500,3,0.6,5.817111159963204,0,0.03,Claude 3.6S
243,321,564,chat,1500,1,0.35,6.33682573114644,0,0.0,Claude 3.6S
2318,1065,3383,chat,200,5,0.85,8.126813720726114,1,0.0,Gemini 3
199,154,353,writing,400,3,0.6,5.869296913133774,1,0.04,Claude 3.6S
133,234,367,chat,400,2,0.475,5.90808293816893,1,0.0,Claude 3.6S
1948,972,2920,code,200,3,0.6,7.979681302387741,1,0.07,Gemini 3
115,229,344,writing,1500,5,0.85,5.843544417031359,0,0.04,Claude 3.6S
3207,812,4019,chat,800,2,0.475,8.299037181613066,0,0.0,Claude 3.6S
1004,263,1267,qa,800,2,0.475,7.145196134997171,0,0.03,Claude 3.6S
1063,304,1367,code,400,2,0.475,7.221105098182496,1,0.07,Gemini 3
469,519,988,code,200,3,0.6,6.896694331622712,1,0.07,Gemini 3
333,247,580,reasoning,3000,1,0.35,6.364750756851911,0,0.08,Claude 3.6S
59,70,129,qa,400,2,0.475,4.867534450455582,1,0.03,Claude 3.6S
271,286,557,code,800,1,0.35,6.324358962381311,0,0.07,Claude 3.6S
896,797,1693,writing,1500,3,0.6,7.434847875211999,0,0.04,Claude 3.6S
417,327,744,writing,3000,3,0.6,6.61338421837956,0,0.04,Claude 3.6S
227,307,534,writing,3000,1,0.35,6.282266746896006,0,0.04,Claude 3.6S
171,126,297,chat,3000,2,0.475,5.697093486505405,0,0.0,Claude 3.6S
1481,476,1957,chat,800,2,0.475,7.579678823090456,0,0.0,Claude 3.6S
333,272,605,reasoning,800,3,0.6,6.406879986069314,0,0.08,Claude 3.6S
78,150,228,chat,3000,2,0.475,5.433722003554239,0,0.0,Claude 3.6S
1130,423,1553,writing,800,2,0.475,7.348587530927593,0,0.04,Claude 3.6S
1254,307,1561,code,6000,2,0.475,7.353722330399631,0,0.07,Claude 3.6S
1267,693,1960,chat,1500,1,0.35,7.581209826196346,0,0.0,Claude 3.6S
2302,785,3087,qa,1500,1,0.35,8.035278911144667,0,0.03,Claude 3.6S
2181,1017,3198,writing,3000,3,0.6,8.070593539949519,0,0.04,Claude 3.6S
104,176,280,code,3000,2,0.475,5.638354669333745,0,0.07,Claude 3.6S
513,201,714,chat,3000,1,0.35,6.5722825426940075,0,0.0,Claude 3.6S
1320,808,2128,chat,400,3,0.6,7.663407664893479,1,0.0,Gemini 3
1954,669,2623,code,400,2,0.475,7.8724551500639794,1,0.07,Gemini 3
381,222,603,writing,1500,4,0.725,6.403574197934815,0,0.04,Claude 3.6S
756,355,1111,reasoning,800,3,0.6,7.013915474810528,0,0.08,Claude 3.6S
313,299,612,qa,1500,4,0.725,6.418364935936212,0,0.03,Claude 3.6S
465,425,890,chat,1500,3,0.6,6.792344427470809,0,0.0,Claude 3.6S
427,432,859,code,800,2,0.475,6.756932389247553,0,0.07,Claude 3.6S
251,80,331,qa,200,2,0.475,5.805134968916488,1,0.03,Gemini 3
1845,773,2618,chat,800,2,0.475,7.870547844507712,0,0.0,Claude 3.6S
495,293,788,code,800,2,0.475,6.670766320845874,0,0.07,Claude 3.6S
4206,2612,6818,writing,1500,2,0.475,8.827468112520652,0,0.04,Claude 3.6S
744,464,1208,code,800,2,0.475,7.097548850614793,0,0.07,Claude 3.6S
1890,1406,3296,code,800,1,0.35,8.10076824307173,0,0.07,Claude 3.6S
613,351,964,qa,1500,2,0.475,6.872128101338986,0,0.03,Claude 3.6S
841,295,1136,qa,1500,1,0.35,7.036148493750535,0,0.03,Claude 3.6S
138,276,414,code,400,3,0.6,6.028278520230698,1,0.07,Claude 3.6S
377,304,681,reasoning,1500,1,0.35,6.5250296578434615,0,0.08,Claude 3.6S
448,102,550,chat,1500,2,0.475,6.311734809152914,0,0.0,Claude 3.6S
421,186,607,reasoning,200,3,0.6,6.410174881966167,1,0.08,Gemini 3
480,428,908,code,800,3,0.6,6.812345094177479,0,0.07,Claude 3.6S
6857,3000,9857,chat,800,1,0.35,9.196038587265322,0,0.0,Gemini 3
